Th,Ph,E,NrHits,NrBumps,E1,E1E9,E9E25,Z20,Z53,LatMom
96.7129,-142.508,3.92323,27,1,3.05483,0.818047,0.961042,0.9767,0.00135606,0.290924
16.4167,45.4064,4.11729,26,1,1.98781,0.509486,0.968952,0.960862,0.00326511,0.656645
70.1004,34.664,4.45139,26,2,3.53938,0.837979,0.964081,0.973658,0.0025237,0.337144
2.40548,48.4237,3.72788,20,1,2.17252,0.624633,0.966868,0.879309,0.00250087,0.816896
12.0773,20.4793,2.15849,18,1,1.28559,0.62431,0.967776,0.964988,0.00615662,0.368717
24.6288,-63.1914,1.4227,17,1,0.874008,0.649242,0.965629,0.959017,0.00329018,0.914916
152.087,-144.327,1.16227,13,1,0.514035,0.492842,0.913741,0.964071,0.00255943,0.401281
122.069,-33.4044,3.53343,26,1,2.81255,0.829998,0.976781,0.9747,0.00454806,0.314992
152.706,-3.60234,2.93823,21,1,1.35743,0.480478,0.982133,0.950994,0.00167281,0.79171
151.456,144.873,2.95693,17,1,1.53295,0.532773,0.990721,0.958884,0.00393234,0.748137
20.2991,-13.3283,3.88318,18,1,1.53956,0.411427,0.970132,0.966879,0.00201325,0.39842
34.9797,129.287,2.82076,16,1,2.4618,0.891391,0.982954,0.988458,0.000834988,0.712488
156.563,-112.065,1.59929,17,1,0.911932,0.601506,0.973213,0.95745,0.0070865,0.474363
153.348,168.168,4.12024,23,1,1.8721,0.531734,0.857087,0.960218,0.000666972,0.497183
118.018,-114.048,1.06094,9,1,0.909979,0.866747,0.989571,0.990721,0.00115329,0.131617
56.8066,-114.975,3.13158,19,1,1.9813,0.655265,0.971718,0.977346,0.00124135,0.229995
104.633,114.49,1.51438,17,1,0.689972,0.478037,0.967885,0.961979,0.00480178,0.457634
23.5164,171.278,1.75215,16,1,1.20292,0.718121,0.980726,0.970774,0.0020906,0.788912
11.959,17.2603,2.99921,17,1,1.82695,0.629017,0.977281,0.972951,0.00168875,0.424355
21.1368,-143.103,4.10424,22,1,2.1564,0.546952,0.965205,0.971006,0.00243771,0.299181
21.1757,-65.8967,3.07371,26,1,2.19313,0.76438,0.952975,0.96389,0.00315648,0.573111
64.0325,-41.5075,2.41987,23,1,1.75212,0.767532,0.965201,0.965517,0.00341004,0.406129
137.511,66.0484,2.17947,17,1,1.83482,0.86583,0.975008,0.985187,0.00163643,0.207854
87.6586,49.0339,1.28259,17,1,0.677249,0.564821,0.951561,0.958023,0.00544503,0.442285
81.5166,178.624,4.18031,27,1,3.47147,0.865118,0.97043,0.977208,0.00245582,0.755081
34.8949,99.4437,3.85012,23,1,3.18873,0.856083,0.981163,0.977045,0.00203518,0.867351
151.372,-65.808,1.63176,16,1,0.865283,0.567991,0.940457,0.966589,0.00272334,0.654104
83.0886,106.754,3.04186,18,1,2.49638,0.844844,0.97909,0.981568,0.00297737,0.251377
120.036,59.7989,3.00703,20,1,2.44005,0.848018,0.965034,0.979525,0.00353575,0.277742
47.1116,36.031,2.65331,24,1,1.83484,0.732689,0.958237,0.967744,0.00322722,0.37441
32.6721,105.033,3.67384,22,1,2.92337,0.826309,0.968916,0.98193,0.000920358,0.736073
10.5199,141.587,4.39959,26,1,3.152,0.752732,0.960805,0.972609,0.00159237,0.31268
30.2734,-119.798,4.59937,32,1,3.5335,0.811615,0.961157,0.970783,0.00271032,0.835577
151.976,34.6513,3.36978,20,1,1.28022,0.391643,0.988503,0.956073,0.00152679,0.76775
23.9994,-103.042,2.78193,13,1,2.3482,0.85803,0.987864,0.988221,0.00244308,0.171616
6.95937,-62.8858,4.8865,30,1,3.60306,0.788901,0.954824,0.963927,0.00253619,0.897168
8.16448,-166.968,1.67941,16,1,1.11883,0.753241,0.939778,0.871472,0.0195501,0.796008
11.7795,120.153,2.83843,21,1,2.40926,0.880783,0.973507,0.980055,0.00292426,0.271724
68.6146,-9.59247,5.07787,29,1,3.75889,0.780505,0.95984,0.974368,0.00272481,0.649637
2.93871,-103.266,3.75051,21,1,2.68651,0.786785,0.948397,0.877929,0.0118013,0.793368
98.009,-6.96161,3.79327,25,1,1.52873,0.421765,0.968352,0.96022,0.00229339,0.920863
90.6706,114.708,2.28578,19,1,1.65889,0.758874,0.969364,0.973695,0.00163428,0.341137
20.4567,-6.87935,3.05212,19,1,2.23701,0.770485,0.954946,0.977225,0.00314021,0.287732
38.124,-73.269,1.53343,16,1,1.08213,0.737992,0.972784,0.972963,0.00329861,0.331208
105.17,108.523,2.36736,18,1,1.87968,0.82358,0.983414,0.975549,0.00119426,0.308432
30.0843,-34.9855,1.53927,17,1,1.16962,0.792456,0.982799,0.974104,0.00493287,0.331651
54.9678,-70.3295,4.05427,25,1,2.86387,0.744399,0.961999,0.972313,0.00172516,0.328882
56.8716,171.149,2.45549,27,1,1.6469,0.723542,0.954063,0.963379,0.0028309,0.41964
